SHB	ZAP70
SIT1	ZAP70
TYROBP	ZAP70
SLAMF6	ZAP70
FCRL3	ZAP70
NFAM1	ZAP70
HSPA5	BCAR1
YWHAZ	BCAR1
ABL1	BCAR1
CRKL	BCAR1
GRB2	BCAR1
NCK1	BCAR1
PIK3R1	BCAR1
NEDD9	BCAR1
HCK	BCAR1
INPPL1	BCAR1
SRC	BCAR1
PXN	BCAR1
CRK	BCAR1
GSN	BCAR1
TRIP6	BCAR1
VCL	BCAR1
JUB	BCAR1
ZYX	BCAR1
LCK	BCAR1
ID2	BCAR1
FYN	BCAR1
PTK2	BCAR1
RICS	BCAR1
PTPN1	BCAR1
SFN	BCAR1
MAPK8	BCAR1
DOCK1	BCAR1
PPP1R15A	BCAR1
FES	BCAR1
PTPN11	BCAR1
LYN	BCAR1
TNS1	BCAR1
CD2AP	BCAR1
SH3KBP1	BCAR1
PTPRF	BCAR1
PTK2B	BCAR1
E2F2	BCAR1
CSPG4	BCAR1
PKD1	BCAR1
EFS	BCAR1
RAPGEF1	BCAR1
SNIP	BCAR1
PTPN12	BCAR1
PTPRH	BCAR1
SH2D3A	BCAR1
NPHP1	BCAR1
FXYD6	BCAR1
BCAR3	BCAR1
VPS11	BCAR1
SH2D3C	BCAR1
ABL1	CRKL
BCR	CRKL
ZAP70	CRKL
BCAR1	CRKL
GRB2	CRKL
SHC1	CRKL
SOS1	CRKL
PIK3R1	CRKL
NEDD9	CRKL
DOK1	CRKL
EVL	CRKL
CBL	CRKL
PXN	CRKL
MAP4K5	CRKL
CRK	CRKL
DNM2	CRKL
ETV6	CRKL
WAS	CRKL
WIPF1	CRKL
GAB2	CRKL
RICS	CRKL
ANK3	CRKL
FCGR1A	CRKL
EPOR	CRKL
TGFB1I1	CRKL
PIK3R2	CRKL
KIT	CRKL
PTPN11	CRKL
STAT5A	CRKL
BLNK	CRKL
CBLB	CRKL
GAB1	CRKL
PDGFRA	CRKL
TYK2	CRKL
SYK	CRKL
DOCK2	CRKL
INPP5D	CRKL
CD34	CRKL
IFNAR1	CRKL
RAPGEF1	CRKL
IRS4	CRKL
MAP4K1	CRKL
KIDINS220	CRKL
APP	GRB2
ERBB2	GRB2
ABL1	GRB2
BCR	GRB2
ZAP70	GRB2
BCAR1	GRB2
CRKL	GRB2
SHC1	GRB2
SOS1	GRB2
PIK3R1	GRB2
PTPN6	GRB2
PAG1	GRB2
JAK1	GRB2
TUB	GRB2
NTRK1	GRB2
PLCG1	GRB2
ARHGAP17	GRB2
SRC	GRB2
CBL	GRB2
VAV1	GRB2
MICAL1	GRB2
PXN	GRB2
ADAM15	GRB2
CRK	GRB2
PDE4D	GRB2
SH3BP2	GRB2
WASF1	GRB2
RASA1	GRB2
EPHB1	GRB2
KDR	GRB2
EPHA2	GRB2
INSR	GRB2
MAPK9	GRB2
ACTA1	GRB2
ETV6	GRB2
JUB	GRB2
WAS	GRB2
PLEC1	GRB2
USP6NL	GRB2
ADAM12	GRB2
ADA	GRB2
ADAM10	GRB2
PTK2	GRB2
