Proteins	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
'AFF4'	1.011853201	0.993092495	0.930449658	0.925304428	0.902500727	0.854409741	1.002081605	0.981459064	0.965267025	0.961260928	0.927230546	0.995159722	0.973329374	1.0132569	0.997231251	1.016774673	1.030968319	1.024556823
'AFTIN'	0.941478465	0.938871747	0.934975198	1.074004472	1.038859103	0.988970916	1.021720083	0.951318276	1.04608494	0.989656656	0.978063473	0.990342872	1.016070143	1.008352455	0.939522749	1.035264924	0.986232704	1.003471749
'AGAP1'	0.974004269	1.043188594	1.016774673	0.852044095	0.846158597	1.015366101	0.891928519	1.044635763	1.131314463	0.933679945	0.883315051	0.964598185	1.043911927	1.04608494	1.001387256	1.028113827	1.110338834	1.037419937
'AGFG1'	1.087488391	1.200803427	1.035264924	1.172834949	1.016774673	1.051172909	1.057750964	1.0181852	1.037419937	1.125058485	1.417157397	1.284315809	0.997922719	0.915099168	0.927230546	0.816203046	0.656105627	0.7031966
'AGGF1'	1.029540083	1.009751298	0.948026965	0.97874165	1.002776436	0.996540263	1.028826708	1.009751298	1.021012126	0.958599438	0.884540435	0.976031761	0.988970916	1.024556823	0.995159722	1.032398535	1.150291893	1.21167266
'AGM1'	1.011152081	1.0181852	0.999307093	1.072516617	0.942784536	0.936921447	0.991716731	0.963929808	0.977385766	1.082224645	1.094293701	1.091263877	0.994470169	1.050444544	1.016070143	1.029540083	1.059218335	1.050444544
'AGRG1'	1.006257823	1.030968319	1.028113827	1.035264924	0.909408252	1.038859103	1.029540083	1.028826708	0.955945318	1.014662547	0.999307093	1.056285625	0.90000193	0.880259014	0.832198735	1.02313747	0.952637998	0.986916546
'AGRL1'	0.981459064	0.918912883	1.190031696	0.804966138	0.669891801	1.009751298	1.073260286	1.071030823	1.180174343	0.988285652	1.169587664	1.118837101	0.915099168	0.842062954	1.53049677	1.450952208	2.633533844	1.921189728
'AHDC1'	1.011152081	0.963929808	0.954621014	1.034547582	1.088997015	0.902500727	1.009051634	0.944747041	1.002776436	1.056285625	1.0181852	0.992404375	0.957935218	0.937571096	1.000693387	0.951318276	0.891928519	0.886996305
'AHNK'	0.991716731	1.048989328	1.022428531	0.880869374	0.829894586	0.980099415	1.179356592	1.098092814	1.162314108	1.0181852	0.984184022	1.025267238	1.026689546	0.989656656	0.916368645	1.030253954	1.025978145	1.011853201
'AHNK2'	0.972654947	1.068805991	0.987600861	0.955282936	0.904379378	0.947370071	1.051901779	1.048262476	1.073260286	1.006257823	0.951318276	1.009051634	0.972654947	0.950000383	0.942784536	1.074749173	0.976031761	0.944747041
'AIDA'	0.958599438	0.864537231	0.957271458	0.944092419	0.897510051	1.038139271	1.00695555	0.96727633	0.961260928	1.048989328	1.104964485	1.078480432	0.946057647	0.967947027	0.966606097	0.945402117	1.00765376	0.946057647
'AIFM1'	1.027401439	1.062159186	0.983502074	1.29056249	1.258757174	0.96996191	0.965267025	0.971307496	1.015366101	1.043911927	1.00765376	1.051901779	1.030968319	1.006257823	0.997231251	1.017479692	0.963261894	1
'AIMP1'	1.016070143	1.041021598	0.976031761	1.034547582	1.028826708	0.950659101	0.972654947	0.931740429	0.950659101	1.107264584	1.137605228	1.163120042	1.054822317	1.033114388	1.081474763	0.991716731	1.016774673	1.011152081
